Date,Open,High,Low,Close,Volume,CumulativeVolume
02-05-2022 09:07,878.5500,878.6700,878.1000,878.5500,0,0
02-05-2022 09:08,878.5500,879.0100,878.5500,879.0100,0,0
02-05-2022 09:09,879.0100,879.0100,878.9000,878.9000,0,0
02-05-2022 09:10,878.9000,878.9000,878.5500,878.5500,0,0
02-05-2022 09:11,878.5500,878.6900,878.5500,878.6900,0,0
02-05-2022 09:12,878.6900,878.6900,878.6900,878.6900,0,0
02-05-2022 09:13,878.6900,878.6900,878.5500,878.5500,0,0
02-05-2022 09:14,878.5500,878.5500,878.3700,878.3700,0,0
02-05-2022 09:15,878.3700,878.4900,878.3700,878.4900,0,0
02-05-2022 09:16,878.4900,878.4900,878.3500,878.3500,0,0
02-05-2022 09:17,878.3500,878.3500,878.3500,878.3500,0,0
02-05-2022 09:18,878.3500,878.3500,878.3500,878.3500,0,0
02-05-2022 09:19,878.3500,878.3700,878.3500,878.3700,0,0
02-05-2022 09:20,878.3700,878.3700,878.3700,878.3700,0,0
02-05-2022 09:21,878.3700,878.5500,878.3700,878.5500,0,0
02-05-2022 09:22,878.5500,878.5500,878.5500,878.5500,0,0
02-05-2022 09:23,878.5500,878.5500,878.4900,878.4900,0,0
02-05-2022 09:24,878.4900,878.4900,878.4600,878.4600,0,0
02-05-2022 09:25,878.4600,878.4600,878.4600,878.4600,0,0
02-05-2022 09:26,878.4600,878.4600,878.4600,878.4600,0,0
02-05-2022 09:27,878.4600,878.4600,878.4600,878.4600,0,0
02-05-2022 09:28,878.4600,878.4600,878.4600,878.4600,0,0
02-05-2022 09:29,878.4600,878.4600,878.4600,878.4600,0,0
02-05-2022 09:30,878.4600,878.5800,878.4600,878.5800,0,0
02-05-2022 09:31,878.5800,878.5800,878.5800,878.5800,0,0
02-05-2022 09:32,878.5800,878.7400,878.5800,878.7400,0,0
02-05-2022 09:33,878.7400,878.8300,878.7400,878.8300,0,0
02-05-2022 09:34,878.8300,878.8300,878.8300,878.8300,0,0
02-05-2022 09:35,878.8300,878.8300,878.7800,878.7800,0,0
02-05-2022 09:36,878.7800,878.7800,878.4600,878.4600,0,0
02-05-2022 09:37,878.4600,878.8300,878.4600,878.8300,0,0
02-05-2022 09:38,878.8300,878.8300,878.8300,878.8300,0,0
02-05-2022 09:39,878.8300,878.8300,878.8300,878.8300,0,0
02-05-2022 09:40,878.8300,879.0100,878.8300,879.0100,0,0
02-05-2022 09:41,879.0100,879.0100,879.0100,879.0100,0,0
02-05-2022 09:42,879.0100,879.4500,879.0100,879.4500,0,0
02-05-2022 09:43,879.4500,879.4500,879.3800,879.3800,0,0
02-05-2022 09:44,879.3800,879.3800,879.2900,879.2900,0,0
02-05-2022 09:45,879.2900,879.2900,879.2900,879.2900,0,0
02-05-2022 09:46,879.2900,879.3100,879.2900,879.3100,0,0
02-05-2022 09:47,879.3100,879.3100,879.2900,879.2900,0,0
02-05-2022 09:48,879.2900,879.7000,879.2900,879.7000,0,0
02-05-2022 09:49,879.7000,879.7000,879.6100,879.6100,0,0
02-05-2022 09:50,879.6100,879.6100,879.5200,879.5200,0,0
02-05-2022 09:51,879.5200,879.5200,879.5200,879.5200,0,0
02-05-2022 09:52,879.5200,879.5200,879.4500,879.4500,0,0
02-05-2022 09:53,879.4500,879.7500,879.4500,879.7500,0,0
02-05-2022 09:54,879.7500,879.8400,879.7500,879.8400,0,0
02-05-2022 09:55,879.8400,879.8400,879.8400,879.8400,0,0
02-05-2022 09:56,879.8400,879.8400,879.6100,879.6100,0,0
02-05-2022 09:57,879.6100,879.7000,879.6100,879.7000,0,0
02-05-2022 09:58,879.7000,879.7000,879.6500,879.6500,0,0
02-05-2022 09:59,879.6500,879.7000,879.6500,879.7000,0,0
02-05-2022 10:00,879.7000,879.7000,879.5600,879.5600,0,0
02-05-2022 10:01,879.5600,879.5600,879.5600,879.5600,0,0
02-05-2022 10:02,879.5600,879.5600,879.5200,879.5200,0,0
02-05-2022 10:03,879.5200,879.5200,879.5200,879.5200,0,0
02-05-2022 10:04,879.5200,879.5600,879.5200,879.5600,0,0
02-05-2022 10:05,879.5600,879.5600,879.5600,879.5600,0,0
02-05-2022 10:06,879.5600,879.6300,879.5600,879.6300,0,0
02-05-2022 10:07,879.6300,879.6300,879.6100,879.6100,0,0
02-05-2022 10:08,879.6100,879.6100,879.6100,879.6100,0,0
02-05-2022 10:09,879.6100,879.6100,879.4000,879.4000,0,0
02-05-2022 10:10,879.4000,879.4000,879.3800,879.3800,0,0
02-05-2022 10:11,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:12,879.3800,879.4700,879.3800,879.4700,0,0
02-05-2022 10:13,879.4700,879.5600,879.4700,879.5600,0,0
02-05-2022 10:14,879.5600,879.5600,879.5400,879.5400,0,0
02-05-2022 10:15,879.5400,879.5400,879.5400,879.5400,0,0
02-05-2022 10:16,879.5400,879.5400,879.5400,879.5400,0,0
02-05-2022 10:17,879.5400,879.5400,879.5400,879.5400,0,0
02-05-2022 10:18,879.5400,879.5400,879.3800,879.3800,0,0
02-05-2022 10:19,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:20,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:21,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:22,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:23,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:24,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:25,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:26,879.3800,879.3800,879.3800,879.3800,0,0
02-05-2022 10:27,879.3800,879.3800,879.3300,879.3300,0,0
02-05-2022 10:28,879.3300,879.3300,879.3300,879.3300,0,0
02-05-2022 10:29,879.3300,879.3300,879.3300,879.3300,0,0
