Date,Open,High,Low,Close,Volume,CumulativeVolume
02-05-2022 09:07,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:08,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:09,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:10,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:11,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:12,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:13,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:14,31377.3500,31377.3500,31377.3500,31377.3500,0,0
02-05-2022 09:15,31377.3500,31391.5500,31207.1500,31322.1000,1195451,1195451
02-05-2022 09:16,31321.1000,31324.3000,31173.0000,31243.1500,639691,1835142
02-05-2022 09:17,31239.7500,31240.4500,31198.9500,31233.8500,395204,2230346
02-05-2022 09:18,31228.7500,31298.1000,31228.7500,31295.2500,336352,2566698
02-05-2022 09:19,31303.8000,31311.6500,31273.7500,31300.2000,343435,2910133
02-05-2022 09:20,31302.2000,31333.1000,31288.6000,31329.4500,205071,3115204
02-05-2022 09:21,31326.2500,31399.6500,31326.2500,31399.6500,287375,3402579
02-05-2022 09:22,31400.5500,31409.6500,31295.3500,31295.3500,236896,3639475
02-05-2022 09:23,31296.7500,31303.3500,31268.4500,31288.6000,345001,3984476
02-05-2022 09:24,31293.5500,31301.1500,31262.0500,31285.2000,328149,4312625
02-05-2022 09:25,31290.4000,31335.3500,31290.2000,31292.8000,175925,4488550
02-05-2022 09:26,31294.5000,31294.5000,31235.3000,31237.8500,304976,4793526
02-05-2022 09:27,31236.2500,31268.3500,31206.4000,31267.5500,285295,5078821
02-05-2022 09:28,31272.2000,31359.8000,31272.2000,31294.8500,212557,5291378
02-05-2022 09:29,31298.0000,31298.0000,31252.5000,31254.1000,120908,5412286
02-05-2022 09:30,31250.3000,31313.4000,31238.1000,31294.5500,174527,5586813
02-05-2022 09:31,31296.5000,31296.5000,31241.8000,31244.4500,113015,5699828
02-05-2022 09:32,31244.3000,31253.0000,31183.6000,31192.4000,207363,5907191
02-05-2022 09:33,31194.1500,31213.9500,31184.5000,31192.4000,122143,6029334
02-05-2022 09:34,31191.1000,31207.5500,31164.2000,31166.3500,184472,6213806
02-05-2022 09:35,31164.7500,31164.7500,31105.7000,31108.6000,303089,6516895
02-05-2022 09:36,31115.4000,31182.1500,31111.0000,31178.1500,236735,6753630
02-05-2022 09:37,31167.0500,31181.8500,31144.1500,31159.4500,168109,6921739
02-05-2022 09:38,31162.3500,31163.8500,31145.9500,31156.8500,331284,7253023
02-05-2022 09:39,31156.8500,31169.6000,31145.1500,31161.2000,397940,7650963
02-05-2022 09:40,31163.1500,31179.1000,31155.2000,31163.4500,251838,7902801
02-05-2022 09:41,31164.8500,31209.9000,31158.9000,31205.9000,179587,8082388
02-05-2022 09:42,31207.9500,31212.6500,31180.7500,31212.6500,210335,8292723
02-05-2022 09:43,31213.6000,31240.5000,31193.6000,31240.5000,150167,8442890
02-05-2022 09:44,31244.7500,31247.8500,31210.1500,31214.9000,188342,8631232
02-05-2022 09:45,31212.4000,31220.0000,31171.2000,31171.2000,214384,8845616
02-05-2022 09:46,31159.5500,31165.7500,31121.0500,31150.0000,244182,9089798
02-05-2022 09:47,31150.2500,31150.2500,31082.3000,31114.1500,325978,9415776
02-05-2022 09:48,31116.9500,31134.6500,31091.4000,31125.3500,125620,9541396
02-05-2022 09:49,31119.7500,31120.5000,31094.7500,31111.8000,148944,9690340
02-05-2022 09:50,31111.7000,31119.5000,31093.2500,31106.3500,192643,9882983
02-05-2022 09:51,31108.0000,31108.4000,31068.1500,31096.4500,236003,10118986
02-05-2022 09:52,31097.0500,31126.9000,31094.3000,31107.6500,200663,10319649
02-05-2022 09:53,31107.2000,31128.5500,31083.1000,31125.2500,252419,10572068
02-05-2022 09:54,31127.0000,31127.0000,31097.4500,31097.4500,114662,10686730
02-05-2022 09:55,31097.1000,31106.1000,31093.5500,31094.1500,77429,10764159
02-05-2022 09:56,31097.5500,31118.7000,31097.5500,31115.9000,142692,10906851
02-05-2022 09:57,31116.7000,31116.7000,31058.8500,31061.9500,135631,11042482
02-05-2022 09:58,31060.0500,31074.6500,31051.7500,31058.6500,163756,11206238
02-05-2022 09:59,31061.3000,31062.8000,31036.9000,31047.7000,153981,11360219
02-05-2022 10:00,31044.9500,31079.6500,31028.9500,31046.6000,228892,11589111
02-05-2022 10:01,31049.2000,31065.1500,31039.5500,31044.1500,103571,11692682
02-05-2022 10:02,31048.2000,31058.8000,31032.6500,31035.7000,139742,11832424
02-05-2022 10:03,31034.8500,31043.7500,31027.7000,31040.7000,234728,12067152
02-05-2022 10:04,31040.9500,31051.2500,31035.2000,31047.8500,168819,12235971
02-05-2022 10:05,31047.1500,31052.0500,31021.5000,31024.4500,152608,12388579
02-05-2022 10:06,31023.9000,31023.9000,31008.3000,31011.8000,160355,12548934
02-05-2022 10:07,31011.9500,31024.4000,31011.1500,31017.7000,82661,12631595
02-05-2022 10:08,31018.9500,31033.0000,31015.9500,31024.7500,184469,12816064
02-05-2022 10:09,31024.3500,31031.2000,31017.3000,31024.4500,158941,12975005
02-05-2022 10:10,31024.2500,31050.2500,31024.2500,31036.0500,111306,13086311
02-05-2022 10:11,31037.0500,31037.0500,31001.4000,31009.2000,101814,13188125
02-05-2022 10:12,31007.7500,31025.4500,31007.1000,31020.5000,119166,13307291
02-05-2022 10:13,31018.0000,31025.5000,31010.1500,31012.6500,92851,13400142
02-05-2022 10:14,31011.5000,31022.6500,31010.5000,31012.9000,91492,13491634
02-05-2022 10:15,31012.8000,31027.0500,31007.0500,31007.0500,125174,13616808
02-05-2022 10:16,31007.8500,31013.9000,31004.1000,31005.6500,135287,13752095
02-05-2022 10:17,31002.9000,31027.8500,31002.9000,31025.2500,107896,13859991
02-05-2022 10:18,31026.5000,31050.6500,31007.0000,31045.9000,148797,14008788
02-05-2022 10:19,31049.0000,31050.1000,31036.6500,31043.0000,81097,14089885
02-05-2022 10:20,31043.7500,31050.6000,31033.1000,31046.5500,73998,14163883
02-05-2022 10:21,31044.3500,31050.9500,31035.5000,31043.5500,81807,14245690
02-05-2022 10:22,31044.6000,31053.9500,31041.4000,31041.4000,47975,14293665
02-05-2022 10:23,31041.0000,31057.9500,31036.8000,31036.8000,91476,14385141
02-05-2022 10:24,31033.7000,31040.3000,31031.2000,31039.8500,81329,14466470
02-05-2022 10:25,31040.8500,31053.7000,31037.9500,31048.8500,47150,14513620
02-05-2022 10:26,31047.4500,31055.9500,31042.0500,31054.8000,46119,14559739
02-05-2022 10:27,31054.7500,31056.2000,31028.4000,31032.8500,68840,14628579
02-05-2022 10:28,31032.6500,31033.9500,31026.6000,31026.9000,75653,14704232
02-05-2022 10:29,31025.8000,31048.6000,31025.7500,31032.4000,61515,14765747
02-05-2022 10:30,31033.5500,31036.4000,31015.0000,31015.3500,79497,14845244
02-05-2022 10:31,31013.5500,31025.7500,31013.5500,31021.7500,54169,14899413
02-05-2022 10:32,31022.8500,31028.4000,31019.2000,31024.7500,50996,14950409
02-05-2022 10:33,31024.0500,31049.1500,31024.0500,31045.6500,115545,15065954
02-05-2022 10:34,31041.9000,31091.3000,31041.9000,31084.0500,129277,15195231
02-05-2022 10:35,31084.0500,31099.0000,31084.0500,31092.2000,98236,15293467
02-05-2022 10:36,31091.8000,31102.9500,31089.5500,31100.8000,69007,15362474
02-05-2022 10:37,31099.2500,31111.8500,31096.3000,31097.5500,49544,15412018
02-05-2022 10:38,31101.5500,31109.2500,31092.7000,31094.7500,49296,15461314
02-05-2022 10:39,31094.7000,31126.3000,31094.7000,31116.5000,59411,15520725
02-05-2022 10:40,31117.0000,31120.7000,31107.0500,31109.5000,56192,15576917
02-05-2022 10:41,31114.2000,31120.3000,31105.7500,31107.1500,107607,15684524
02-05-2022 10:42,31101.3000,31112.0500,31092.9000,31093.6500,63775,15748299
02-05-2022 10:43,31094.4000,31103.0000,31090.5500,31093.6000,62238,15810537
02-05-2022 10:44,31092.5500,31097.5500,31086.3500,31087.3500,65513,15876050
02-05-2022 10:45,31083.8500,31089.5500,31069.4000,31069.4000,80204,15956254
02-05-2022 10:46,31073.0500,31073.0500,31054.8000,31055.5000,79215,16035469
02-05-2022 10:47,31056.7500,31062.4500,31041.1000,31043.1500,45419,16080888
02-05-2022 10:48,31042.8500,31074.9500,31040.2500,31052.9500,110001,16190889
02-05-2022 10:49,31053.0000,31069.3000,31051.2000,31061.7500,65128,16256017
02-05-2022 10:50,31064.7500,31069.0500,31048.9500,31052.6000,60574,16316591
02-05-2022 10:51,31051.5000,31060.8500,31048.0000,31048.0000,49296,16365887
02-05-2022 10:52,31050.3000,31063.2000,31037.0000,31054.2500,71378,16437265
02-05-2022 10:53,31055.7000,31058.0000,31046.6500,31046.7000,56785,16494050
02-05-2022 10:54,31048.4000,31052.6000,31044.9500,31050.6500,32516,16526566
02-05-2022 10:55,31051.3000,31052.2500,31028.6000,31031.1500,26607,16553173
02-05-2022 10:56,31031.9000,31042.9000,31028.6500,31038.1000,85271,16638444
02-05-2022 10:57,31036.3000,31037.7000,31031.1500,31034.5500,43471,16681915
02-05-2022 10:58,31034.8000,31046.1000,31034.8000,31043.2500,41936,16723851
02-05-2022 10:59,31044.4000,31049.5500,31029.0000,31029.7500,65782,16789633
02-05-2022 11:00,31028.8500,31028.8500,31021.8500,31024.7000,42503,16832136
02-05-2022 11:01,31025.0000,31025.9000,31015.0000,31015.5000,120912,16953048
02-05-2022 11:02,31015.8500,31023.9000,31015.7000,31017.7500,66739,17019787
02-05-2022 11:03,31017.5500,31025.8500,31016.1500,31016.8000,77617,17097404
02-05-2022 11:04,31017.9500,31022.9500,31011.7500,31017.8000,52008,17149412
02-05-2022 11:05,31014.7000,31017.2000,31006.8500,31015.3500,38800,17188212
02-05-2022 11:06,31014.5500,31036.7000,31011.4500,31025.6000,49369,17237581
02-05-2022 11:07,31027.7000,31036.6000,31020.8500,31020.8500,40428,17278009
02-05-2022 11:08,31021.0500,31037.6000,31017.0000,31036.8000,134241,17412250
02-05-2022 11:09,31036.3000,31036.3000,31018.4000,31019.0000,70437,17482687
